Year,geo,time,final_cons,ths_wpeople,long_int,deflated_GDP,va_thwokers,env_consu,env_total,env_inv,gfcf,gfcf_pub,short_int,ths_whour.y,north_south_dummy,Population,Real_GDP_per_capita
1975,FR,1975,,21876,10.31166667,992416.5814,45.3655413,,,,,,7.923333,40746338,0,53715733,18475.34281
1976,FR,1976,,22058,10.51,1035651.757,46.95129915,,,,,,8.69,41665051,0,53966558,19190.62092
1977,FR,1977,,22254,10.99166667,1071514.193,48.1492852,,,,,,9.215834,41177204,0,54221988,19761.61761
1978,FR,1978,,22387,10.61166667,1114163.544,49.76832732,,,,,,8.156667,40722561,0,54486195,20448.54745
1979,FR,1979,,22538,10.8475,1153686.176,51.18848946,,,,,,9.483334,40918673,0,54753575,21070.51779
1979,NO,1979,,1889,,141595.2981,74.95780734,,,,,,10.71667,2965000,1,4072517,34768.49774
1980,NO,1980,,1936,,148055.6975,76.47505036,,,,,,12.23333,3038000,1,4085620,36238.24475
1980,FR,1980,,22641,13.78416667,1171913.615,51.76068259,,,,,,12.20917,40892675,0,55052582,21287.16897
1981,NO,1981,,1961,,150424.8263,76.7082235,,,,,,13.125,3060000,1,4099702,36691.64888
1981,FR,1981,,22618,16.29166667,1184451.573,52.36765288,,,,,,15.25917,40386411,0,55371044,21391.17285
1982,NO,1982,,1962,,150777.8144,76.84903894,,,,,,15.36667,3040000,1,4114787,36642.92086
1982,FR,1982,,22677,15.9975,1214122.248,53.53980895,,,,,,14.61583,38876959,0,55694106,21799.83368
1983,NO,1983,,1958,,156768.5797,80.0656689,,,,,,13.3,3021000,1,4128432,37972.91071
1983,FR,1983,,22652,14.36833333,1229193.111,54.26421999,,,,,,12.4675,38424647,0,55992656,21952.75593
1984,NO,1984,,1973,,166256.8985,84.26604081,,,,,,13.01667,3034000,1,4140099,40157.71084
1984,FR,1984,,22536,13.40416667,1247793.821,55.36891291,,,,,,11.7025,38077956,0,56275701,22172.87033
1985,NO,1985,,2028,12.91166667,175488.511,86.53279635,,,,,,12.525,3106000,1,4152516,42260.76697
1985,FR,1985,,22487,11.86666667,1268045.838,56.39017377,,,,,,9.943334,37200740,0,56569195,22415.83671
1986,NO,1986,,2094,13.29916667,182583.0022,87.19341081,,,,,,14.39167,3199000,1,4167354,43812.69319
1986,FR,1986,,22597,9.119166667,1297677.026,57.42696049,,,,,,7.7095,37247803,0,56865193,22820.23427
